"DB010","DB020","DB030","DB040","DB062","DB090"
"2013","BG",31,"BG31","1","460.8686"
"2013","BG",41,"BG31","5","903.6028"
"2013","BG",53,"BG31","2","695.2021"
"2013","BG",63,"BG31","4","949.609"
"2013","BG",72,"BG31","2","955.4338"
"2013","BG",79,"BG31","4","392.9446"
"2013","BG",96,"BG31","3","2246.463"
"2013","BG",107,"BG31","2","251.7311"
"2013","BG",113,"BG31","5","990.6679"
"2013","BG",115,"BG31","5","660.2978"
"2013","BG",208,"BG31","5","805.6476"
"2013","BG",230,"BG31","1","367.2673"
"2013","BG",328,"BG31","1","748.9544"
"2013","BG",355,"BG31","3","601.4118"
"2013","BG",356,"BG31","2","948.457"
"2013","BG",405,"BG31","4","329.3034"
"2013","BG",432,"BG31","4","395.3303"
"2013","BG",442,"BG31","3","850.3444"
"2013","BG",460,"BG31","4","504.0407"
"2013","BG",462,"BG31","2","305.6583"
"2013","BG",504,"BG31","4","410.4829"
"2013","BG",515,"BG31","1","812.8321"
"2013","BG",540,"BG31","5","640.7401"
"2013","BG",546,"BG31","5","505.371"
"2013","BG",598,"BG31","2","994.5996"
"2013","BG",603,"BG31","4","708.1082"
"2013","BG",641,"BG31","4","1043.324"
"2013","BG",741,"BG31","4","734.3322"
"2013","BG",758,"BG31","2","1034.8"
"2013","BG",787,"BG31","1","669.7809"
"2013","BG",846,"BG31","5","1027.104"
"2013","BG",861,"BG31","5","822.6037"
"2013","BG",865,"BG31","5","643.6142"
"2013","BG",866,"BG31","2","767.9942"
"2013","BG",870,"BG31","1","798.1709"
"2013","BG",931,"BG31","5","598.4454"
"2013","BG",1024,"BG31","4","513.9763"
"2013","BG",1044,"BG31","4","1087.113"
"2013","BG",1095,"BG31","2","439.4251"
"2013","BG",1098,"BG31","2","695.5779"
"2013","BG",1127,"BG31","2","238.0591"
"2013","BG",1190,"BG31","5","447.5464"
"2013","BG",1199,"BG31","5","188.3343"
"2013","BG",1201,"BG31","3","512.3223"
"2013","BG",1247,"BG31","1","375.6852"
"2013","BG",1252,"BG31","3","781.452"
"2013","BG",1258,"BG31","3","552.4433"
"2013","BG",1317,"BG31","3","316.5071"
"2013","BG",1332,"BG31","5","511.5714"
"2013","BG",1337,"BG31","3","961.6891"
"2013","BG",1340,"BG31","2","466.0257"
"2013","BG",1379,"BG31","4","397.6719"
"2013","BG",1411,"BG31","1","881.8927"
"2013","BG",1432,"BG31","2","569.2816"
"2013","BG",1441,"BG31","3","287.297"
"2013","BG",1442,"BG31","2","128.5842"
"2013","BG",1476,"BG31","2","781.2017"
"2013","BG",1497,"BG31","1","503.2576"
"2013","BG",1511,"BG31","2","375.3683"
"2013","BG",1521,"BG31","1","387.0124"
"2013","BG",1555,"BG31","4","1501.029"
"2013","BG",1566,"BG31","2","393.5526"
"2013","BG",1583,"BG31","1","455.2959"
"2013","BG",1618,"BG31","1","294.3653"
"2013","BG",1700,"BG31","3","729.8501"
"2013","BG",1784,"BG31","4","542.8985"
"2013","BG",1793,"BG31","4","396.2472"
"2013","BG",1844,"BG31","3","2338.915"
"2013","BG",1905,"BG31","4","607.1442"
"2013","BG",1920,"BG31","2","702.7802"
"2013","BG",1981,"BG31","5","477.5245"
"2013","BG",1987,"BG31","5","334.4856"
"2013","BG",2002,"BG31","4","634.6619"
"2013","BG",2015,"BG31","5","379.3191"
"2013","BG",2053,"BG31","1","764.3459"
"2013","BG",2069,"BG31","1","1501.029"
"2013","BG",2085,"BG31","3","1190.882"
"2013","BG",2102,"BG31","3","236.0696"
"2013","BG",2112,"BG31","3","469.8955"
"2013","BG",2127,"BG31","2","545.6817"
"2013","BG",2158,"BG31","5","1020.839"
"2013","BG",2162,"BG31","4","477.0889"
"2013","BG",2203,"BG31","3","1018.914"
"2013","BG",2226,"BG31","1","940.5131"
"2013","BG",2233,"BG31","3","344.3994"
"2013","BG",2285,"BG31","1","413.5358"
"2013","BG",2290,"BG31","4","0"
"2013","BG",2318,"BG31","3","861.8937"
"2013","BG",2355,"BG31","4","454.3865"
"2013","BG",2451,"BG31","3","880.1794"
"2013","BG",2464,"BG31","5","1450.061"
"2013","BG",2482,"BG31","1","1441.855"
"2013","BG",2486,"BG31","4","722.7627"
"2013","BG",2511,"BG31","5","459.1482"
"2013","BG",2551,"BG31","2","261.5477"
"2013","BG",2558,"BG31","2","598.9286"
"2013","BG",2562,"BG31","2","514.8878"
"2013","BG",2649,"BG31","2","879.9503"
"2013","BG",2662,"BG31","3","449.4871"
"2013","BG",2672,"BG31","2","281.0406"
"2013","BG",2704,"BG31","2","662.8098"
"2013","BG",2737,"BG31","4","816.9583"
"2013","BG",2739,"BG31","3","1010.669"
"2013","BG",2790,"BG31","1","528.1086"
"2013","BG",2820,"BG31","3","753.9739"
"2013","BG",2828,"BG31","4","441.9559"
"2013","BG",2870,"BG31","2","412.9244"
"2013","BG",2880,"BG31","5","934.0765"
"2013","BG",2898,"BG31","4","217.4817"
"2013","BG",2905,"BG31","2","563.3616"
"2013","BG",2961,"BG31","4","972.6052"
"2013","BG",2984,"BG31","1","488.575"
"2013","BG",3001,"BG31","2","482.352"
"2013","BG",3006,"BG31","5","788.0647"
"2013","BG",3019,"BG31","4","417.0891"
"2013","BG",3038,"BG31","4","780.1258"
"2013","BG",3048,"BG31","1","447.5464"
"2013","BG",3049,"BG31","3","332.8283"
"2013","BG",3094,"BG31","3","965.6992"
"2013","BG",3165,"BG31","5","690.446"
"2013","BG",3168,"BG31","3","660.8061"
"2013","BG",3174,"BG31","1","395.3303"
"2013","BG",3179,"BG31","4","810.2031"
"2013","BG",3227,"BG31","3","438.8062"
"2013","BG",3229,"BG31","2","886.8173"
"2013","BG",3265,"BG31","5","382.1781"
"2013","BG",3308,"BG31","1","486.8137"
"2013","BG",3330,"BG31","1","1388.884"
"2013","BG",3347,"BG31","1","655.1502"
"2013","BG",3354,"BG31","4","774.7486"
"2013","BG",3357,"BG31","2","899.3869"
"2013","BG",3394,"BG31","2","1441.855"
"2013","BG",3439,"BG31","2","426.3707"
