"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","BG",31,"2","2013","20",1833,1815,0,0,,,,,,,,0,0,0,0,0,,0,,0,18,0,,0,,"NA","3","NA","2","2","2","2","1","1","1","3","4","511.3","1","NA","2","2","2","2","1","1","3","2","2","NA","15.34","50.11","NA","1","2","2","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","1",,"1",1,,,,,
"2013","BG",41,"2","2013","15",1168,1152,0,0,,,,,,,,0,0,0,0,0,,0,,0,15,0,,0,,"NA","2","NA","2","1","2","1","1","2","1","1","2","1124.86","2","NA","2","2","1","2","4","1","3","2","2","NA","434.6","54.2","NA","3","1","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA","NA",,"1",1,,,,,
"2013","BG",53,"3","2013","25",4760,3868,0,0,,,,,,,,0,0,0,0,0,,0,,0,892,0,,0,,"NA","3","NA","2","2","2","1","1","3","1","1","1","255.65","1","NA","2","2","2","2","1","1","2","2","1","NA","112.49","86.92","NA","1","1","2","NA","2","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BG",63,"2","2013","20",2986,1056,0,0,,,,,,,,0,0,0,0,0,,0,,0,67,1862,,0,,"2","3","NA","1","1","1","1","1","1","1","1","3","1022.6","2","NA","1","2","2","2","4","1","3","2","2","NA","102.26","196.34","NA","1","3","1","2","1","NA","NA","NA","3","NA","NA","NA","NA","1","2","NA",,"1",1,,,,,
"2013","BG",72,"2","2013","20",2217,2203,0,0,,,,,,,,0,0,0,0,0,,0,,0,14,0,,0,,"NA","2","NA","1","2","2","1","1","3","1","1","1","971.47","1","NA","2","2","2","1","2","1","2","2","1","NA","40.9","112.49","NA","1","1","2","1","1","NA","NA","1","NA","NA","NA","NA","NA","1","NA","1",,"1",1,,,,,
"2013","BG",79,"2","2013","30",2645,2640,507,507,,,,,,,,507,0,0,0,0,,0,,0,5,0,,0,,"NA","3","NA","1","2","1","1","1","1","1","1","1","1022.6","3","NA","2","1","2","1","1","1","3","2","2","NA","NA","88.97","120.16","1","3","3","NA","NA","2","NA","NA","NA","NA","2","NA","2","NA","1","NA",,"1",1,,,,,
"2013","BG",96,"2","2013","23",1264,1259,0,0,,,,,,,,0,0,0,0,0,,0,,0,5,0,,0,,"NA","3","NA","2","1","2","1","1","3","1","2","2","818.08","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","56.24","NA","2","2","2","NA","NA","1","NA","NA","2","NA","NA","NA","2","NA","NA","NA",,"1",1,,,,,
"2013","BG",107,"3","2013","20",3719,3699,343,343,,,,,,,,343,0,98,0,0,,0,,0,20,0,,0,,"NA","2","NA","1","2","2","1","1","1","1","1","1","1329.38","2","NA","2","2","1","2","4","1","2","2","1","NA","51.13","71.58","NA","2","1","2","NA","NA","NA","2","2","NA","1","NA","NA","NA","NA","NA","2",,"1",1,,,,,
"2013","BG",113,"2","2013","35",1272,1253,0,0,,,,,,,,0,0,0,0,0,,0,,0,19,0,,0,,"NA","3","NA","2","1","2","1","1","1","1","1","1","3067.8","2","NA","2","2","1","2","1","5","5","2","2","NA","102.26","85.39","NA","1","1","1","NA","1","1","NA","3","NA","NA","NA","NA","NA","NA","1","NA",,"1",1,,,,,
"2013","BG",115,"3","2013","90",1695,1693,0,0,,,,,,,,0,0,0,0,0,,0,,0,3,0,,0,,"NA","3","NA","1","1","2","1","1","1","1","3","1","255.65","1","3","1","2","1","2","4","1","2","2","1","NA","NA","137.03","NA","2","1","2","1","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
