"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","BG",311,487.286821705426,"4",1932,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,31,"1","0","0","0"
"2013","BG",411,487.286821705426,"2",1937,"2","1","3","1","11","NA","NA","NA","0","NA","NA","NA",76,75,41,"0","0","1","0"
"2013","BG",531,487.286821705426,"2",1938,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",74,74,53,"99","1","0","0"
"2013","BG",631,487.286821705426,"2",1968,"1","1","4","1","11","5","NA","NA","NA","NA","NA","NA",44,44,63,"1","2","0","0"
"2013","BG",721,487.286821705426,"1",1932,"1","1","1","1","11","1","NA","23","NA","NA","NA","0",80,80,72,"0.2857142857","2","0","0"
"2013","BG",791,487.286821705426,"3",1936,"1","1","4","1","NA","1","NA","NA","NA","NA","NA","NA",77,76,79,"0.25","0","0","10"
"2013","BG",961,487.286821705426,"4",1946,"2","1","1","1","NA","1","NA","NA","NA","NA","NA","NA",66,66,96,"0","2","0","0"
"2013","BG",1071,487.286821705426,"2",1955,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",58,57,107,"99","0","1","10"
"2013","BG",1131,487.286821705426,"3",1939,"1","1","1","1","11","1","NA","NA","NA","NA","NA","NA",74,73,113,"0.7222222222","0","1","0"
"2013","BG",1151,487.286821705426,"3",1949,"2","1","4","1","11","1","NA","NA","NA","NA","NA","NA",64,63,115,"0.375","0","0","10"
"2013","BG",2081,487.286821705426,"2",1936,"1","1","3","1","11","5","NA","NA","NA","NA","NA","NA",77,76,208,"99","0","0","0"
"2013","BG",2301,487.286821705426,"4",1932,"2","1","3","1","11","1","NA","NA","NA","0","NA","NA",80,80,230,"0.5","0","0","100"
"2013","BG",3281,487.286821705426,"2",1932,"2","1","1","4","NA","1","NA","NA","NA","NA","NA","NA",80,80,328,"1","0","0","110"
"2013","BG",3551,487.286821705426,"1",1957,"1","1","3","1","11","1","NA","NA","NA","NA","NA","NA",55,55,355,"1","0","1","110"
"2013","BG",3561,487.286821705426,"1",1936,"1","1","3","1","11","1","NA","NA","NA","NA","NA","NA",77,76,356,"0.6666666667","2","0","0"
"2013","BG",4051,487.286821705426,"2",1958,"1","1","2","1","11","1","NA","NA","NA","NA","0","NA",55,54,405,"1","0","0","110"
"2013","BG",4321,487.286821705426,"2",1966,"1","1","1","1","11","1","NA","0","NA","NA","NA","NA",47,46,432,"1","2","1","10"
"2013","BG",4421,487.286821705426,"4",1932,"2","1","3","1","11","1","NA","NA","NA","NA","NA","NA",80,80,442,"0.75","2","1","10"
"2013","BG",4601,487.286821705426,"3",1932,"2","1","2","1","11","1","40","NA","NA","NA","NA","NA",80,80,460,"0.5","2","0","0"
"2013","BG",4621,487.286821705426,"1",1943,"2","1","1","4","11","1","0","NA","NA","NA","0","NA",69,69,462,"99","2","0","0"
"2013","BG",5041,487.286821705426,"3",1935,"1","1","3","1","11","1","NA","NA","NA","NA","NA","NA",78,77,504,"0.5","2","0","0"
"2013","BG",5151,487.286821705426,"4",1950,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",62,62,515,"99","0","0","0"
"2013","BG",5401,487.286821705426,"1",1989,"1","1","4","4","11","NA","NA","20","0","NA","NA","NA",23,23,540,"0.75","0","1","0"
"2013","BG",5461,487.286821705426,"2",1932,"2","1","3","1","11","1","0","NA","NA","NA","NA","NA",80,80,546,"0.5","0","0","110"
"2013","BG",5981,487.286821705426,"4",1932,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,598,"1","2","1","110"
"2013","BG",6031,487.286821705426,"3",1932,"1","1","1","1","NA","1","0","NA","NA","0","NA","NA",80,80,603,"99","0","0","110"
"2013","BG",6411,487.286821705426,"3",1932,"1","1","1","1","NA","1","0","NA","NA","NA","NA","NA",80,80,641,"0.5","0","0","10"
"2013","BG",7411,487.286821705426,"2",1952,"2","1","4","1","11","5","NA","0","NA","NA","NA","20",60,60,741,"99","2","1","10"
"2013","BG",7581,487.286821705426,"2",1946,"1","1","2","1","11","1","NA","NA","NA","NA","NA","NA",66,66,758,"0.5","0","0","10"
"2013","BG",7871,487.286821705426,"4",1937,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","0",75,75,787,"0.0833333333","0","1","10"
"2013","BG",8461,487.286821705426,"3",1932,"1","1","3","4","11","1","30","NA","NA","NA","NA","NA",80,80,846,"99","2","0","0"
"2013","BG",8611,487.286821705426,"3",1935,"2","1","4","1","11","1","NA","NA","0","NA","NA","0",77,77,861,"0.375","0","0","0"
"2013","BG",8651,487.286821705426,"2",1932,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,865,"0","0","1","0"
"2013","BG",8661,487.286821705426,"1",1951,"1","1","2","1","11","1","NA","NA","NA","NA","0","NA",62,61,866,"0.7841982082","0","0","100"
"2013","BG",8701,487.286821705426,"1",1949,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",64,63,870,"99","0","1","0"
"2013","BG",9311,487.286821705426,"2",1932,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",80,80,931,"0.3125","0","1","0"
"2013","BG",10241,487.286821705426,"4",1946,"1","1","3","1","11","1","NA","NA","NA","NA","NA","NA",67,66,1024,"99","1","1","0"
"2013","BG",10441,487.286821705426,"4",1932,"1","1","1","1","11","5","NA","NA","NA","NA","NA","NA",80,80,1044,"1","2","0","11"
"2013","BG",10951,487.286821705426,"4",1968,"1","1","4","1","11","1","NA","NA","NA","NA","0","0",45,44,1095,"99","0","0","0"
"2013","BG",10981,487.286821705426,"4",1943,"1","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",70,69,1098,"99","2","0","0"
"2013","BG",11271,487.286821705426,"4",1932,"2","1","3","1","11","1","NA","NA","NA","NA","NA","NA",80,80,1127,"1","0","1","110"
"2013","BG",11901,487.286821705426,"1",1942,"2","1","1","1","11","1","NA","NA","0","NA","NA","NA",70,70,1190,"0.3333333333","0","0","0"
"2013","BG",11991,487.286821705426,"1",1932,"2","1","3","1","NA","1","NA","NA","NA","NA","NA","NA",80,80,1199,"0.3333333333","0","1","100"
"2013","BG",12011,487.286821705426,"4",1932,"2","1","1","1","11","1","NA","NA","0","NA","0","NA",80,80,1201,"0.8541666667","0","1","10"
"2013","BG",12471,487.286821705426,"2",1932,"1","1","1","1","11","1","0","NA","NA","NA","NA","NA",80,80,1247,"99","0","0","10"
"2013","BG",12521,487.286821705426,"3",1936,"1","1","1","1","NA","1","NA","NA","NA","NA","NA","NA",77,76,1252,"0.2916666667","1","1","0"
"2013","BG",12581,487.286821705426,"1",1947,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",66,65,1258,"0","0","1","0"
"2013","BG",13171,487.286821705426,"4",1968,"1","1","4","4","11","1","NA","NA","NA","0","NA","NA",44,44,1317,"99","1","1","0"
"2013","BG",13321,487.286821705426,"4",1932,"2","1","4","4","11","1","NA","25","0","NA","NA","NA",80,80,1332,"99","0","1","10"
"2013","BG",13371,487.286821705426,"4",1936,"2","1","2","1","11","1","0","NA","NA","0","NA","NA",77,76,1337,"0.5","2","1","110"
"2013","BG",13401,487.286821705426,"1",1938,"2","1","4","4","11","1","NA","NA","NA","NA","NA","NA",75,74,1340,"1","0","0","110"
"2013","BG",13791,487.286821705426,"4",1943,"1","1","1","4","11","5","NA","0","NA","NA","NA","NA",70,69,1379,"0","0","1","10"
"2013","BG",14111,487.286821705426,"2",1951,"1","1","4","1","11","5","NA","NA","NA","NA","0","0",61,61,1411,"1","2","1","10"
"2013","BG",14321,487.286821705426,"2",1932,"1","1","3","1","11","1","NA","NA","0","NA","NA","0",80,80,1432,"0.5","0","0","110"
"2013","BG",14411,487.286821705426,"1",1948,"1","1","3","1","11","NA","NA","40","NA","NA","NA","NA",65,64,1441,"99","0","0","110"
"2013","BG",14421,487.286821705426,"2",1932,"2","1","1","1","11","1","NA","NA","NA","0","NA","NA",80,80,1442,"99","2","0","0"
"2013","BG",14761,487.286821705426,"2",1950,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",63,62,1476,"99","0","0","110"
"2013","BG",14971,487.286821705426,"2",1939,"1","1","1","1","11","1","NA","NA","NA","0","NA","NA",74,73,1497,"0.3333333333","2","0","0"
"2013","BG",15111,487.286821705426,"1",1943,"2","1","1","1","11","1","NA","NA","NA","NA","NA","0",69,69,1511,"1","1","0","10"
"2013","BG",15211,487.286821705426,"1",1933,"1","1","2","4","11","1","0","NA","0","NA","NA","NA",80,79,1521,"1","0","0","0"
"2013","BG",15551,487.286821705426,"1",1958,"1","1","1","4","11","5","NA","NA","NA","NA","NA","0",54,54,1555,"1","0","1","10"
"2013","BG",15661,487.286821705426,"4",1937,"2","1","2","1","11","1","NA","NA","NA","NA","NA","NA",76,75,1566,"1","0","1","0"
"2013","BG",15831,487.286821705426,"3",1944,"2","1","4","1","11","1","NA","NA","0","NA","NA","0",68,68,1583,"1","0","0","0"
"2013","BG",16181,487.286821705426,"4",1936,"1","1","1","1","11","1","0","NA","NA","NA","NA","0",77,76,1618,"1","2","0","10"
"2013","BG",17001,487.286821705426,"1",1932,"1","1","4","1","11","1","NA","NA","NA","NA","0","NA",80,80,1700,"99","0","1","10"
"2013","BG",17841,487.286821705426,"2",1933,"1","1","1","1","11","1","NA","NA","NA","NA","NA","NA",79,79,1784,"99","0","1","10"
"2013","BG",17931,487.286821705426,"2",1954,"2","1","4","4","11","NA","NA","NA","NA","NA","0","NA",58,58,1793,"99","0","0","0"
"2013","BG",18441,487.286821705426,"3",1934,"2","1","4","1","11","1","NA","NA","NA","NA","0","NA",79,78,1844,"1","0","1","11"
"2013","BG",19051,487.286821705426,"2",1949,"2","1","3","1","11","NA","NA","NA","NA","NA","0","NA",64,63,1905,"0.8888888889","0","1","10"
"2013","BG",19201,487.286821705426,"2",1932,"2","1","2","1","NA","5","NA","NA","NA","NA","NA","NA",80,80,1920,"0.5","2","0","10"
"2013","BG",19811,487.286821705426,"2",1962,"1","1","4","1","11","1","NA","NA","NA","NA","NA","NA",50,50,1981,"0","0","1","0"
"2013","BG",19871,487.286821705426,"3",1932,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1987,"0","0","1","0"
"2013","BG",20021,487.286821705426,"4",1946,"1","1","1","1","NA","1","NA","NA","NA","0","NA","NA",66,66,2002,"0","2","1","0"
"2013","BG",20151,487.286821705426,"1",1951,"2","1","3","4","11","1","NA","NA","NA","0","NA","NA",61,61,2015,"99","2","0","110"
"2013","BG",20531,487.286821705426,"4",1972,"1","1","2","1","11","1","NA","NA","NA","NA","NA","NA",41,40,2053,"0.5","1","0","101"
"2013","BG",20691,487.286821705426,"2",1954,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",59,58,2069,"0.8541666667","0","1","111"
"2013","BG",20851,487.286821705426,"1",1953,"1","1","4","1","11","1","NA","NA","NA","NA","NA","NA",60,59,2085,"99","2","0","10"
"2013","BG",21021,487.286821705426,"4",1950,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",63,62,2102,"1","0","0","0"
"2013","BG",21121,487.286821705426,"2",1934,"1","1","1","1","11","5","NA","0","NA","NA","NA","NA",79,78,2112,"1","0","1","10"
"2013","BG",21271,487.286821705426,"1",1962,"1","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",50,50,2127,"0.5","0","1","0"
"2013","BG",21581,487.286821705426,"1",1932,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",80,80,2158,"0.625","0","0","0"
"2013","BG",21621,487.286821705426,"4",1937,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",76,75,2162,"0.4788889834","1","1","100"
"2013","BG",22031,487.286821705426,"3",1951,"1","1","3","1","NA","5","NA","35","NA","0","NA","NA",62,61,2203,"99","0","0","111"
"2013","BG",22261,487.286821705426,"2",1938,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",75,74,2226,"99","0","0","0"
"2013","BG",22331,487.286821705426,"4",1934,"1","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",78,78,2233,"1","0","0","110"
"2013","BG",22851,487.286821705426,"1",1943,"1","1","3","4","11","1","NA","NA","NA","NA","NA","NA",69,69,2285,"0","0","1","11"
"2013","BG",22901,487.286821705426,"2",1939,"2","1","4","1","11","1","NA","NA","NA","NA","NA","0",73,73,2290,"1","2","0","10"
"2013","BG",23181,487.286821705426,"4",1952,"1","1","1","1","NA","1","NA","NA","NA","0","NA","NA",60,60,2318,"1","0","1","0"
"2013","BG",23551,487.286821705426,"3",1961,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",52,51,2355,"0.875","0","0","0"
"2013","BG",24511,487.286821705426,"4",1951,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","0",62,61,2451,"1","2","1","0"
"2013","BG",24641,487.286821705426,"1",1932,"2","1","4","1","11","1","NA","NA","NA","0","NA","NA",80,80,2464,"1","0","0","0"
"2013","BG",24821,487.286821705426,"1",1934,"1","1","1","1","11","1","0","NA","NA","NA","NA","NA",79,78,2482,"1","1","0","0"
"2013","BG",24861,487.286821705426,"1",1949,"2","1","3","1","11","1","NA","NA","NA","NA","NA","NA",64,63,2486,"1","0","0","0"
"2013","BG",25111,487.286821705426,"3",1968,"1","1","1","1","11","1","NA","NA","0","NA","NA","0",44,44,2511,"0.2916666667","0","0","0"
"2013","BG",25511,487.286821705426,"4",1951,"2","1","1","1","11","1","NA","NA","NA","NA","0","NA",61,61,2551,"1","0","0","111"
"2013","BG",25581,487.286821705426,"3",1937,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",76,75,2558,"1","0","0","1"
"2013","BG",25621,487.286821705426,"3",1938,"2","1","1","1","NA","5","NA","NA","NA","NA","NA","NA",74,74,2562,"0","1","0","0"
"2013","BG",26491,487.286821705426,"3",1968,"1","1","3","1","11","1","40","25","NA","NA","NA","NA",44,44,2649,"1","2","0","0"
"2013","BG",26621,487.286821705426,"4",1945,"2","1","4","1","11","1","0","NA","NA","NA","NA","NA",67,67,2662,"99","0","1","10"
"2013","BG",26721,487.286821705426,"2",1962,"1","1","1","1","11","1","NA","30","NA","NA","NA","NA",50,50,2672,"1","0","1","0"
"2013","BG",27041,487.286821705426,"1",1938,"1","1","1","1","11","1","NA","NA","0","NA","NA","NA",74,74,2704,"1","0","0","100"
"2013","BG",27371,487.286821705426,"3",1935,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",78,77,2737,"1","0","1","111"
"2013","BG",27391,487.286821705426,"4",1936,"1","1","1","1","NA","1","0","NA","NA","NA","NA","NA",77,76,2739,"0.5","0","1","10"
"2013","BG",27901,487.286821705426,"4",1945,"1","1","2","1","11","1","40","NA","NA","0","NA","NA",67,67,2790,"1","0","0","0"
"2013","BG",28201,487.286821705426,"1",1932,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,2820,"1","2","1","0"
"2013","BG",28281,487.286821705426,"1",1951,"1","1","3","1","11","5","NA","NA","NA","NA","NA","NA",62,61,2828,"0.4166666667","2","1","0"
"2013","BG",28701,487.286821705426,"1",1943,"1","1","1","1","11","1","NA","NA","NA","NA","NA","NA",70,69,2870,"1","0","0","0"
"2013","BG",28801,487.286821705426,"2",1943,"2","1","1","1","11","NA","NA","0","NA","NA","NA","NA",69,69,2880,"1","2","0","10"
"2013","BG",28981,487.286821705426,"3",1955,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",58,57,2898,"0.6666666667","0","1","0"
"2013","BG",29051,487.286821705426,"1",1943,"1","1","1","1","11","1","NA","NA","0","0","NA","NA",69,69,2905,"99","0","1","110"
"2013","BG",29611,487.286821705426,"3",1945,"1","1","1","1","11","1","NA","NA","NA","NA","NA","NA",68,67,2961,"99","0","0","10"
