"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","ES",43,"2","2013","7",5314,5313,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,,"NA","3","NA","1","1","1","1","1","1","1","1","4","2000","1","NA","2","2","2","1","4","1","6","2","1","NA","1000","1364.99","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",55,"2","2013","8",16173,13281,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2893,,"3","3","NA","2","1","2","1","1","2","1","1","4","1500","1","NA","2","2","1","2","1","3","4","2","1","NA","400","136.14","229","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",72,"2","2013","8",27405,24729,0,0,,,,,,,,0,0,0,0,0,,409,,0,0,0,,2676,,"3","3","NA","1","1","1","1","1","1","1","3","3","1000","2","NA","2","2","2","2","4","1","6","2","1","NA","NA","1384.39","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",85,"2","2013","5",8161,8061,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,100,,"NA","3","NA","1","1","2","1","1","1","1","1","5","3000","2","1","2","2","1","2","3","4","6","2","1","NA","700","269.06","127.28","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",97,"1","2013","15",10737,10589,0,0,,,,,,,,0,0,0,0,0,,474,,0,0,0,,148,,"3","3","NA","1","1","1","1","1","1","1","1","4","1600","1","NA","2","2","2","2","1","2","4","1","1","NA","NA","164.87","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",107,"2","2013","23",9711,-5825,0,0,,,,,,,,0,0,0,0,0,,279,,0,0,0,,15537,,"NA","3","NA","1","1","1","1","1","1","1","3","4","1500","2","NA","2","2","2","2","4","2","6","1","1","NA","500","247.06","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",130,"2","2013","8",6338,6291,0,0,,,,,,,,0,0,0,0,0,,52,,0,0,0,,47,,"NA","3","NA","1","1","1","1","1","3","1","1","4","3000","2","2","2","2","2","2","3","2","2","1","1","NA","550","255.1","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",146,"2","2013","22",7689,7670,0,0,,,,,,,,0,0,0,0,0,,28,,0,0,0,,19,,"NA","3","NA","1","1","2","1","1","1","1","3","4","3000","2","NA","2","2","2","2","1","1","4","2","1","NA","300","135.1","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",153,"2","2013","9",11527,8942,0,0,,,,,,,,0,0,0,0,0,,439,,0,0,0,,2585,,"NA","3","3","1","1","1","1","1","1","1","1","5","2000","2","NA","2","2","2","2","4","1","5","2","1","NA","350","218.29","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","ES",157,"2","2013","13",6764,6703,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,61,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1500","2","NA","2","2","1","2","2","1","5","2","1","NA","NA","304.48","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
