"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","ES",431,1290.29126213592,"4",1943,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",70,69,43,"99","0","0","0"
"2013","ES",551,1290.29126213592,"3",1938,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",74,74,55,"0.7916666667","0","0","0"
"2013","ES",721,1290.29126213592,"3",1969,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",44,43,72,"1","2","0","0"
"2013","ES",851,1290.29126213592,"2",1942,"1","1","4","4","11","3","NA","NA","NA","NA","NA","NA",71,70,85,"0","2","0","101"
"2013","ES",971,1290.29126213592,"4",1955,"1","1","3","1","11","3","NA","30","NA","NA","NA","NA",57,57,97,"1","0","0","0"
"2013","ES",1071,1290.29126213592,"2",1934,"2","1","1","4","11","3","NA","NA","NA","0","NA","0",79,78,107,"0","0","0","0"
"2013","ES",1301,1290.29126213592,"1",1937,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",76,75,130,"0.5","0","0","0"
"2013","ES",1461,1290.29126213592,"3",1932,"2","1","4","1","11","3","NA","NA","NA","NA","NA","NA",80,80,146,"0.8333333333","2","0","0"
"2013","ES",1531,1290.29126213592,"1",1982,"2","1","1","1","11","5","NA","NA","NA","NA","NA","NA",30,30,153,"0.6666666667","2","0","110"
"2013","ES",1571,1290.29126213592,"3",1932,"2","1","3","1","11","3","NA","NA","NA","NA","NA","NA",80,80,157,"1","0","0","100"
"2013","ES",1681,1290.29126213592,"3",1978,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",34,34,168,"99","0","0","0"
"2013","ES",1781,1290.29126213592,"3",1944,"1","1","2","1","11","2","NA","NA","NA","NA","NA","NA",68,68,178,"1","0","0","0"
"2013","ES",2321,1290.29126213592,"4",1943,"1","1","1","1","11","3","NA","NA","NA","NA","NA","0",69,69,232,"1","0","0","101"
"2013","ES",2831,1290.29126213592,"1",1933,"1","1","1","1","11","5","NA","NA","NA","NA","NA","NA",79,79,283,"0.5","0","0","0"
"2013","ES",3121,1290.29126213592,"4",1971,"2","1","3","1","11","3","NA","NA","NA","NA","NA","0",42,41,312,"0","0","0","0"
"2013","ES",4481,1290.29126213592,"2",1955,"1","1","3","1","11","3","NA","NA","NA","NA","0","NA",57,57,448,"0.5","0","0","0"
"2013","ES",4831,1290.29126213592,"4",1942,"2","1","1","1","11","2","NA","NA","0","NA","NA","NA",71,70,483,"0.5","0","0","0"
"2013","ES",4861,1290.29126213592,"4",1973,"2","2","1","1","11","NA","NA","NA","NA","NA","NA","NA",40,39,486,"99","0","0","0"
"2013","ES",5481,1290.29126213592,"3",1944,"2","1","2","1","11","5","NA","NA","NA","NA","NA","NA",68,68,548,"99","2","0","100"
"2013","ES",5851,1290.29126213592,"4",1942,"2","1","4","1","11","5","NA","NA","NA","NA","0","NA",70,70,585,"0.25","0","0","0"
"2013","ES",6021,1290.29126213592,"1",1944,"2","1","1","4","11","3","NA","NA","NA","NA","NA","NA",68,68,602,"0.125","0","0","0"
"2013","ES",6261,1290.29126213592,"4",1969,"1","1","4","4","11","3","NA","NA","4","NA","NA","NA",43,43,626,"0","0","0","0"
"2013","ES",6271,1290.29126213592,"3",1948,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",64,64,627,"1","0","0","0"
"2013","ES",6851,1290.29126213592,"1",1954,"2","2","3","1","11","NA","NA","NA","NA","NA","NA","NA",59,58,685,"0.6666666667","0","0","101"
"2013","ES",7031,1290.29126213592,"1",1943,"1","1","1","1","11","3","20","NA","NA","NA","NA","NA",69,69,703,"0.7916666667","1","0","0"
"2013","ES",7251,1290.29126213592,"3",1955,"1","1","1","1","NA","2","NA","NA","NA","0","NA","NA",58,57,725,"1","0","0","0"
"2013","ES",7351,1290.29126213592,"4",1963,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",49,49,735,"99","0","0","0"
"2013","ES",7441,1290.29126213592,"4",1935,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",78,77,744,"0.5","0","1","0"
"2013","ES",8091,1290.29126213592,"1",1957,"1","1","4","1","11","5","NA","NA","NA","NA","0","NA",56,55,809,"0.375","0","0","0"
"2013","ES",8131,1290.29126213592,"1",1957,"1","1","2","4","11","2","NA","NA","NA","NA","NA","0",56,55,813,"0.5","0","0","0"
"2013","ES",8241,1290.29126213592,"1",1942,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","0",71,70,824,"0.8710187912","2","0","1"
"2013","ES",8301,1290.29126213592,"1",1938,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",74,74,830,"99","2","0","101"
"2013","ES",8751,1290.29126213592,"4",1935,"2","1","4","1","11","5","NA","30","0","NA","NA","NA",78,77,875,"99","1","0","0"
"2013","ES",10111,1290.29126213592,"3",1932,"2","1","4","1","11","NA","35","NA","NA","NA","NA","NA",80,80,1011,"1","0","0","100"
"2013","ES",10321,1290.29126213592,"1",1975,"1","1","1","1","NA","2","NA","NA","0","NA","NA","NA",38,37,1032,"0","2","0","0"
"2013","ES",10521,1290.29126213592,"3",1985,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",27,27,1052,"99","0","0","0"
"2013","ES",10661,1290.29126213592,"3",1984,"1","1","3","1","11","5","NA","NA","NA","0","NA","NA",29,28,1066,"99","2","0","0"
"2013","ES",10791,1290.29126213592,"4",1957,"1","1","2","1","11","3","NA","NA","NA","NA","NA","NA",55,55,1079,"1","0","0","0"
"2013","ES",11501,1290.29126213592,"1",1935,"2","1","4","4","11","2","NA","NA","0","0","NA","NA",77,77,1150,"1","0","0","0"
"2013","ES",11781,1290.29126213592,"2",1957,"2","1","4","1","11","2","NA","NA","0","NA","NA","NA",56,55,1178,"1","0","0","0"
"2013","ES",11791,1290.29126213592,"3",1984,"1","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",29,28,1179,"0.5","0","0","0"
"2013","ES",11821,1290.29126213592,"1",1932,"2","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",80,80,1182,"1","0","0","0"
"2013","ES",11851,1290.29126213592,"2",1940,"2","1","1","4","11","2","NA","NA","NA","NA","NA","0",73,72,1185,"0.5","0","0","0"
"2013","ES",12671,1290.29126213592,"4",1984,"1","1","1","4","11","5","NA","NA","0","NA","NA","NA",28,28,1267,"0.6666666667","0","0","100"
"2013","ES",13191,1290.29126213592,"4",1942,"2","1","1","1","11","3","NA","NA","NA","NA","NA","NA",70,70,1319,"0.5","0","0","0"
"2013","ES",13251,1290.29126213592,"2",1969,"2","1","4","4","NA","3","NA","NA","NA","0","NA","0",44,43,1325,"1","0","0","100"
"2013","ES",13301,1290.29126213592,"3",1943,"1","1","3","1","11","3","NA","NA","0","NA","NA","NA",69,69,1330,"0.5","0","0","0"
"2013","ES",13521,1290.29126213592,"1",1942,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",70,70,1352,"1","0","0","100"
"2013","ES",13891,1290.29126213592,"3",1932,"2","1","1","1","11","5","NA","NA","NA","NA","0","NA",80,80,1389,"99","0","0","0"
"2013","ES",14261,1290.29126213592,"1",1985,"2","1","4","1","11","3","NA","NA","NA","NA","NA","NA",27,27,1426,"99","0","1","100"
"2013","ES",14871,1290.29126213592,"1",1959,"1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",53,53,1487,"1","0","0","100"
"2013","ES",14971,1290.29126213592,"2",1936,"2","1","1","1","NA","3","NA","NA","NA","NA","NA","NA",76,76,1497,"99","2","0","0"
"2013","ES",15341,1290.29126213592,"3",1935,"1","1","4","1","11","NA","NA","NA","NA","0","NA","NA",78,77,1534,"0.3333333333","2","0","1"
"2013","ES",16141,1290.29126213592,"4",1932,"2","1","3","1","11","2","NA","20","NA","NA","0","NA",80,80,1614,"99","2","0","101"
"2013","ES",16381,1290.29126213592,"1",1932,"1","1","3","1","11","2","NA","25","0","NA","NA","NA",80,80,1638,"1","0","0","1"
"2013","ES",16391,1290.29126213592,"2",1942,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",70,70,1639,"99","0","0","0"
"2013","ES",16901,1290.29126213592,"2",1961,"2","1","4","4","11","3","NA","NA","0","NA","NA","NA",51,51,1690,"1","1","0","100"
"2013","ES",16981,1290.29126213592,"2",1986,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",27,26,1698,"0.4166666667","0","0","0"
"2013","ES",17111,1290.29126213592,"4",1969,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",44,43,1711,"1","1","0","0"
"2013","ES",17141,1290.29126213592,"3",1932,"2","1","3","1","11","3","NA","NA","NA","NA","NA","NA",80,80,1714,"0.3571428571","2","0","0"
"2013","ES",17901,1290.29126213592,"1",1940,"2","1","4","1","11","3","NA","NA","0","NA","NA","NA",72,72,1790,"1","1","0","10"
"2013","ES",18221,1290.29126213592,"1",1942,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",71,70,1822,"99","1","0","0"
"2013","ES",18281,1290.29126213592,"3",1957,"1","1","4","1","11","2","NA","NA","NA","0","NA","0",56,55,1828,"1","0","0","0"
"2013","ES",18291,1290.29126213592,"1",1975,"2","1","1","1","11","NA","NA","NA","NA","NA","0","0",37,37,1829,"1","2","0","111"
"2013","ES",18671,1290.29126213592,"2",1975,"2","1","3","1","11","3","NA","NA","NA","NA","0","NA",37,37,1867,"1","0","0","0"
"2013","ES",18861,1290.29126213592,"1",1932,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1886,"1","0","0","0"
"2013","ES",19211,1290.29126213592,"4",1948,"1","1","2","1","11","2","NA","NA","NA","NA","NA","NA",65,64,1921,"1","0","0","0"
"2013","ES",19461,1290.29126213592,"2",1943,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",69,69,1946,"0.75","0","0","1"
"2013","ES",19551,1290.29126213592,"2",1932,"2","1","2","1","11","5","NA","NA","NA","0","NA","NA",80,80,1955,"99","1","0","0"
"2013","ES",19601,1290.29126213592,"2",1982,"2","1","3","4","11","5","NA","NA","NA","NA","NA","0",31,30,1960,"1","0","0","0"
"2013","ES",19761,1290.29126213592,"2",1975,"2","1","4","1","11","3","NA","NA","NA","NA","0","NA",37,37,1976,"99","0","0","0"
"2013","ES",20001,1290.29126213592,"4",1975,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",37,37,2000,"0.5","0","0","0"
"2013","ES",20371,1290.29126213592,"1",1932,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",80,80,2037,"0.125","0","1","0"
"2013","ES",20591,1290.29126213592,"2",1936,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",76,76,2059,"0.6041666667","0","0","0"
"2013","ES",20661,1290.29126213592,"2",1987,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",25,25,2066,"0.5","0","0","110"
"2013","ES",21241,1290.29126213592,"3",1932,"2","1","4","1","11","NA","NA","25","NA","NA","NA","NA",80,80,2124,"0.4","2","0","0"
"2013","ES",21381,1290.29126213592,"3",1965,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",47,47,2138,"0.4166666667","0","0","10"
"2013","ES",21521,1290.29126213592,"4",1975,"1","1","4","1","11","3","NA","NA","NA","NA","NA","NA",37,37,2152,"0.4791666667","0","0","0"
"2013","ES",21611,1290.29126213592,"1",1947,"2","1","2","4","11","2","NA","NA","NA","NA","NA","NA",66,65,2161,"99","0","0","0"
"2013","ES",22131,1290.29126213592,"3",1932,"1","1","1","1","11","2","NA","NA","NA","0","0","NA",80,80,2213,"0.4583333333","0","0","0"
"2013","ES",23041,1290.29126213592,"3",1955,"1","1","1","4","11","3","NA","NA","NA","NA","NA","NA",57,57,2304,"0.5","1","0","0"
"2013","ES",24271,1290.29126213592,"4",1978,"1","1","1","1","NA","2","NA","NA","NA","NA","0","NA",35,34,2427,"99","0","0","0"
"2013","ES",24401,1290.29126213592,"1",1932,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",80,80,2440,"1","0","0","100"
"2013","ES",25071,1290.29126213592,"3",1946,"2","1","3","4","11","2","NA","NA","NA","NA","NA","NA",67,66,2507,"99","0","0","0"
