DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB062,DB062_F,DB070,DB070_F,DB075,DB075_F,DB090,DB090_F,DB100,DB100_F
2013,FR,211,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,265,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,354,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,420,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,471,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,529,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,627,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,640,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,724,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,755,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,776,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,835,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,886,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,955,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1127,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1156,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1172,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1396,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1495,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1521,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1583,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1800,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,1935,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2141,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2225,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2229,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2239,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2247,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2267,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2377,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2408,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2505,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2675,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2849,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,2974,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3067,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3101,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3129,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3364,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3496,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3545,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3622,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3630,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3673,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3879,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,3939,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4072,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4084,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4092,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4134,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4160,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4348,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,4559,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5013,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5098,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5190,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5263,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5328,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5392,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5408,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5649,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5667,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5812,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5848,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5861,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,5872,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6246,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6250,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6442,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6610,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6630,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6634,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6780,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,6789,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7076,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7220,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7279,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7411,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7554,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7555,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,7894,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,8099,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,8148,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,8183,FR10,,,,,,,,,,4079.7947908445,,,
2013,FR,8251,FR10,,,,,,,,,,4079.7947908445,,,
