HB010,HB020,HB030,HB050,HB050_F,HB060,HB060_F,HB070,HB070_F,HB080,HB080_F,HB090,HB090_F,HB100,HB100_F,HY010,HY010_F,HY010_I,HY020,HY020_F,HY020_I,HY022,HY022_F,HY022_I,HY023,HY023_F,HY023_I,HY030N,HY030N_F,HY040N,HY040N_F,HY040N_I,HY050N,HY050N_F,HY050N_I,HY060N,HY060N_F,HY060N_I,HY070N,HY070N_F,HY070N_I,HY080N,HY080N_F,HY080N_I,HY081N,HY081N_F,HY081N_I,HY090N,HY090N_F,HY090N_I,HY100N,HY100N_F,HY100N_I,HY110N,HY110N_F,HY110N_I,HY120N,HY120N_F,HY120N_I,HY130N,HY130N_F,HY130N_I,HY131N,HY131N_F,HY131N_I,HY140N,HY140N_F,HY140N_I,HY145N,HY145N_F,HY145N_I,HY170N,HY170N_F,HY170N_I,HY030G,HY030G_F,HY040G,HY040G_F,HY040G_I,HY050G,HY050G_F,HY050G_I,HY060G,HY060G_F,HY060G_I,HY070G,HY070G_F,HY070G_I,HY080G,HY080G_F,HY080G_I,HY081G,HY081G_F,HY081G_I,HY090G,HY090G_F,HY090G_I,HY100G,HY100G_F,HY100G_I,HY110G,HY110G_F,HY110G_I,HY120G,HY120G_F,HY120G_I,HY130G,HY130G_F,HY130G_I,HY131G,HY131G_F,HY131G_I,HY140G,HY140G_F,HY140G_I,HY170G,HY170G_F,HY170G_I,HS011,HS011_F,HS021,HS021_F,HS031,HS031_F,HS040,HS040_F,HS050,HS050_F,HS060,HS060_F,HS070,HS070_F,HS080,HS080_F,HS090,HS090_F,HS100,HS100_F,HS110,HS110_F,HS120,HS120_F,HS130,HS130_F,HS140,HS140_F,HS150,HS150_F,HS160,HS160_F,HS170,HS170_F,HS180,HS180_F,HS190,HS190_F,HH010,HH010_F,HH021,HH021_F,HH030,HH030_F,HH031,HH031_F,HH040,HH040_F,HH050,HH050_F,HH060,HH060_F,HH061,HH061_F,HH070,HH070_F,HH071,HH071_F,HH081,HH081_F,HH091,HH091_F,HD080,HD080_F,HD100,HD100_F,HD110,HD110_F,HD120,HD120_F,HD140,HD140_F,HD150,HD150_F,HD160,HD160_F,HD170,HD170_F,HD180,HD180_F,HD190,HD190_F,HD200,HD200_F,HD210,HD210_F,HD220,HD220_F,HD240,HD240_F,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120
2013,FR,211,2,,2013,,,,,,,,40,,28409.62,,,27954.9,,,26164.71,,,6976.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,0,,,1790.19,,,0,,,0,,,7430.79,,,0,,,0,,,0,,,0,,,0,,,454.72,,,100,,,3,,3,,,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3400,,1,,,,2,,1,,2,,1,,4,,2,,5,,,,1,,1,,,,,,1327.5,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,265,2,,2013,,,,,,,,13,,13849.01,,,5588.84,,,2754.14,,,2754.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,0,,,2834.7,,,0,,,0,,,10.81,,,0,,,0,,,0,,,0,,,0,,,8260.17,,,0,,,,,3,,,,1,,1,,1,,1,,1,,1,,1,,1,,2,,4500,,3,,,,2,,2,,2,,1,,1,,2,,6,,,,2,,1,,550,,,,540.92,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,354,2,,2013,,,,,,,,18,,98604.94,,,95207.79,,,89952.77,,,57846.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,41547.46,,,0,,,0,,,0,,,0,,,0,,,18666.59,,,2838,,,0,,,0,,,0,,,0,,,3397.14,,,0,,,,,3,,,,1,,1,,2,,1,,1,,1,,1,,1,,4,,3200,,3,,3,,2,,1,,1,,2,,3,,3,,6,,,,2,,1,,,,,,310.75,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,420,2,,2013,,,,,,,,23,,48969.73,,,43628.79,,,43573.18,,,43573.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056,,0,,,0,,,55.62,,,0,,,0,,,0,,,4.01,,,0,,,0,,,0,,,0,,,0,,,5340.93,,,0,,,,,3,,,,1,,1,,1,,1,,1,,1,,1,,1,,4,,1200,,3,,,,2,,2,,2,,2,,4,,2,,4,,,,2,,1,,,,,,393.92,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,471,2,,2013,,,,,,,,46,,26142.15,,,26137.04,,,26137.04,,,-5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7704,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5350,,,0,,,0,,,0,,,0,,,5.11,,,0,,,3,,3,,,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1500,,3,,,,2,,2,,2,,2,,3,,5,,3,,,,2,,1,,,,,,752.17,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,529,2,,2013,,,,,,,,27,,94115.87,,,92667.71,,,92667.71,,,92667.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,,0,,,0,,,0,,,0,,,0,,,0,,,56179.07,,,0,,,0,,,0,,,0,,,0,,,1448.17,,,0,,,3,,3,,,,2,,1,,1,,1,,1,,3,,1,,1,,3,,4700,,1,,,,2,,2,,2,,2,,4,,1,,5,,,,2,,1,,,,,,376.42,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,627,2,,2013,,,,,,,,39,,26429.59,,,18022.48,,,18022.48,,,18022.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,0,,,0,,,0,,,0,,,4177.45,,,0,,,0,,,0,,,0,,,0,,,8407.1,,,0,,,,,3,,3,,1,,1,,1,,1,,1,,3,,1,,1,,3,,2650,,2,,,,2,,1,,1,,1,,1,,3,,4,,,,2,,1,,,,,,387.42,,1778.5,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,640,2,,2013,,,,,,,,21,,20942.32,,,17367.01,,,15902.25,,,641.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,0,,,1464.77,,,0,,,0,,,4217.27,,,0,,,0,,,0,,,0,,,0,,,3575.3,,,0,,,1,,3,,3,,1,,1,,2,,1,,1,,3,,1,,1,,2,,,,3,,,,2,,1,,2,,2,,2,,3,,2,,,,2,,2,,390,,,,455.83,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,724,2,,2013,,,,,,,,23,,20126.84,,,9578.95,,,9578.95,,,9578.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7596,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10547.88,,,700,,,,,3,,,,1,,1,,2,,1,,3,,1,,1,,1,,4,,1000,,3,,,,2,,2,,2,,2,,2,,4,,4,,,,2,,1,,,,,,501.17,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,755,2,,2013,,,,,,,,16,,29913.22,,,29907.81,,,29907.81,,,83.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2964,,0,,,0,,,0,,,0,,,0,,,0,,,88.44,,,0,,,0,,,0,,,0,,,0,,,5.41,,,100,,,3,,3,,3,,1,,1,,1,,1,,1,,1,,1,,3,,4,,3500,,2,,,,2,,1,,2,,2,,4,,3,,5,,,,2,,1,,,,,,224.17,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
