RB010,RB020,RB030,RB031,RB031_F,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB245,RB245_F,RB250,RB250_F,RB260,RB260_F,RB270,RB270_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,RX010,RX020,RX030,RX040,RX050,RX060,RX070
2013,FR,21101,,,"4079,7947908445",,4,,1946,,2,,1,,1,,,,,,,,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,26501,,,"4079,7947908445",,1,,1984,,2,,1,,3,,,,,,,,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,35401,,,"4079,7947908445",,3,,1932,,2,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,42001,,,"4079,7947908445",,3,,1977,,2,,1,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2013,FR,47101,,,"4079,7947908445",,2,,1938,,2,,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,52901,,,"4079,7947908445",,4,,1932,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,62701,,,"4079,7947908445",,1,,1971,,2,,1,,3,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,
2013,FR,64001,,,"4079,7947908445",,1,,1932,,1,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,72401,,,"4079,7947908445",,2,,1952,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,75501,,,"4079,7947908445",,1,,1938,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
2013,FR,77601,,,"4079,7947908445",,3,,1987,,2,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,83501,,,"4079,7947908445",,4,,1969,,1,,1,,3,,,,,,,,,,11,,2,,,,,,24,,0,,,,,,,,,,,,,,,,
2013,FR,88601,,,"4079,7947908445",,3,,1974,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,95501,,,"4079,7947908445",,1,,1978,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,112701,,,"4079,7947908445",,2,,1932,,2,,1,,1,,,,,,,,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,115601,,,"4079,7947908445",,4,,1932,,2,,1,,1,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,
2013,FR,117201,,,"4079,7947908445",,1,,1987,,2,,1,,3,,,,,,,,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,139601,,,"4079,7947908445",,1,,1954,,2,,1,,1,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,149501,,,"4079,7947908445",,4,,1986,,2,,1,,2,,,,,,,,,,14,,5,,,,,,,,,,,,0,,20,,,,,,,,,,
2013,FR,152101,,,"4079,7947908445",,1,,1985,,2,,1,,1,,,,,,,,,,11,,5,,,,24,,,,,,,,,,,,,,,,,,,,
2013,FR,158301,,,"4079,7947908445",,1,,1946,,2,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,180001,,,"4079,7947908445",,3,,1949,,2,,1,,2,,,,,,,,,,14,,2,,,,,,,,,,0,,,,,,,,,,,,,,
2013,FR,193501,,,"4079,7947908445",,4,,1950,,2,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,214101,,,"4079,7947908445",,3,,1940,,1,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,0,,0,,,,,,,,,,
2013,FR,222501,,,"4079,7947908445",,3,,1952,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,222901,,,"4079,7947908445",,3,,1974,,1,,1,,1,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,
2013,FR,223901,,,"4079,7947908445",,2,,1948,,2,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,224701,,,"4079,7947908445",,1,,1932,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,226701,,,"4079,7947908445",,4,,1959,,2,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,0,,,,,,,,,,,,,,
2013,FR,237701,,,"4079,7947908445",,1,,1991,,2,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,0,,,,,,,,,,,,
2013,FR,240801,,,"4079,7947908445",,2,,1932,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,250501,,,"4079,7947908445",,4,,1945,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,267501,,,"4079,7947908445",,1,,1950,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,0,,,,,,,,,,,,,,,,
2013,FR,284901,,,"4079,7947908445",,1,,1982,,1,,1,,3,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,297401,,,"4079,7947908445",,3,,1989,,2,,1,,3,,,,,,,,,,11,,5,,,,,,,,0,,,,,,,,,,,,,,,,
2013,FR,306701,,,"4079,7947908445",,1,,1941,,2,,1,,1,,,,,,,,,,11,,,,,,,,,,,,,,,,0,,,,,,,,,,
2013,FR,310101,,,"4079,7947908445",,4,,1963,,1,,1,,4,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,312901,,,"4079,7947908445",,1,,1953,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,336401,,,"4079,7947908445",,1,,1984,,1,,1,,1,,,,,,,,,,11,,,,,,32,,,,,,,,,,0,,,,,,,,,,
2013,FR,349601,,,"4079,7947908445",,4,,1960,,2,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,0,,,,,,,,,,,,
2013,FR,354501,,,"4079,7947908445",,1,,1948,,1,,1,,1,,,,,,,,,,,,,,,,,,32,,,,,,0,,,,,,,,,,,,
2013,FR,362201,,,"4079,7947908445",,2,,1932,,2,,1,,1,,,,,,,,,,11,,2,,,,,,,,,,,,,,20,,,,,,,,,,
2013,FR,363001,,,"4079,7947908445",,4,,1932,,2,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,367301,,,"4079,7947908445",,3,,1981,,2,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,387901,,,"4079,7947908445",,3,,1974,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
2013,FR,393901,,,"4079,7947908445",,2,,1958,,2,,1,,4,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,407201,,,"4079,7947908445",,4,,1989,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,0,,0,,,,,,,,,,,,
2013,FR,408401,,,"4079,7947908445",,4,,1932,,2,,1,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,409201,,,"4079,7947908445",,4,,1984,,2,,1,,1,,,,,,,,,,11,,,,,,,,28,,0,,,,,,,,,,,,,,,,
2013,FR,413401,,,"4079,7947908445",,2,,1956,,2,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,416001,,,"4079,7947908445",,3,,1974,,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2013,FR,434801,,,"4079,7947908445",,4,,1987,,2,,1,,2,,,,,,,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,
2013,FR,455901,,,"4079,7947908445",,2,,1932,,2,,1,,1,,,,,,,,,,11,,,,,,,,,,,,,,0,,,,,,,,,,,,
2013,FR,501301,,,"4079,7947908445",,2,,1970,,1,,1,,4,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,509801,,,"4079,7947908445",,3,,1983,,1,,1,,3,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,519001,,,"4079,7947908445",,2,,1932,,2,,1,,4,,,,,,,,,,11,,5,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,526301,,,"4079,7947908445",,1,,1948,,2,,1,,1,,,,,,,,,,11,,,,,,,,,,,,,,0,,,,,,,,,,,,
2013,FR,532801,,,"4079,7947908445",,1,,1961,,1,,1,,3,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,FR,539201,,,"4079,7947908445",,1,,1940,,1,,1,,3,,,,,,,,,,11,,,,,,,,,,,,,,0,,,,,,,,,,,,
