"DB010","DB020","DB030","DB040","DB062","DB090"
"2013","LT",7,"LT00","NA","349.4617"
"2013","LT",54,"LT00","NA","561.3526"
"2013","LT",58,"LT00","NA","931.0393"
"2013","LT",88,"LT00","NA","1244.979"
"2013","LT",104,"LT00","NA","90.29134"
"2013","LT",117,"LT00","NA","341.442"
"2013","LT",193,"LT00","NA","796.9712"
"2013","LT",225,"LT00","NA","139.2813"
"2013","LT",239,"LT00","NA","416.7202"
"2013","LT",257,"LT00","NA","338.7018"
"2013","LT",266,"LT00","NA","930.8657"
"2013","LT",290,"LT00","NA","2538.913"
"2013","LT",295,"LT00","NA","848.3391"
"2013","LT",301,"LT00","NA","225.2213"
"2013","LT",334,"LT00","NA","725.5247"
"2013","LT",377,"LT00","NA","184.4555"
"2013","LT",379,"LT00","NA","184.4555"
"2013","LT",447,"LT00","NA","137.8266"
"2013","LT",456,"LT00","NA","196.9019"
"2013","LT",509,"LT00","NA","231.0618"
"2013","LT",515,"LT00","NA","1941.382"
"2013","LT",522,"LT00","NA","435.1909"
"2013","LT",529,"LT00","NA","231.2326"
"2013","LT",531,"LT00","NA","858.716"
"2013","LT",549,"LT00","NA","666.0066"
"2013","LT",565,"LT00","NA","609.328"
"2013","LT",579,"LT00","NA","199.2867"
"2013","LT",594,"LT00","NA","217.534"
"2013","LT",605,"LT00","NA","335.31"
"2013","LT",640,"LT00","NA","668.277"
"2013","LT",669,"LT00","NA","112.521"
"2013","LT",698,"LT00","NA","522.8362"
"2013","LT",742,"LT00","NA","139.1876"
"2013","LT",750,"LT00","NA","368.6441"
"2013","LT",756,"LT00","NA","938.9435"
"2013","LT",760,"LT00","NA","980.0505"
"2013","LT",786,"LT00","NA","1036.254"
"2013","LT",792,"LT00","NA","138.1463"
"2013","LT",793,"LT00","NA","303.7612"
"2013","LT",797,"LT00","NA","171.831"
"2013","LT",799,"LT00","NA","248.1951"
"2013","LT",808,"LT00","NA","537.3538"
"2013","LT",813,"LT00","NA","901.5639"
"2013","LT",824,"LT00","NA","383.1854"
"2013","LT",861,"LT00","NA","481.9414"
"2013","LT",915,"LT00","NA","470.5197"
"2013","LT",953,"LT00","NA","285.869"
"2013","LT",956,"LT00","NA","610.5214"
"2013","LT",965,"LT00","NA","313.4682"
"2013","LT",980,"LT00","NA","418.3468"
"2013","LT",993,"LT00","NA","161.6719"
"2013","LT",1055,"LT00","NA","238.1555"
"2013","LT",1062,"LT00","NA","590.8842"
"2013","LT",1120,"LT00","NA","117.7306"
"2013","LT",1180,"LT00","NA","74.59104"
"2013","LT",1187,"LT00","NA","211.9023"
"2013","LT",1195,"LT00","NA","822.4867"
"2013","LT",1208,"LT00","NA","81.08161"
"2013","LT",1252,"LT00","NA","349.61"
"2013","LT",1265,"LT00","NA","720.1705"
"2013","LT",1301,"LT00","NA","655.1226"
"2013","LT",1306,"LT00","NA","233.0416"
"2013","LT",1342,"LT00","NA","492.2511"
"2013","LT",1369,"LT00","NA","722.1557"
"2013","LT",1374,"LT00","NA","338.4557"
"2013","LT",1390,"LT00","NA","226.8052"
"2013","LT",1425,"LT00","NA","32.05421"
"2013","LT",1460,"LT00","NA","99.98412"
"2013","LT",1463,"LT00","NA","470.5197"
"2013","LT",1482,"LT00","NA","668.277"
"2013","LT",1507,"LT00","NA","683.8834"
"2013","LT",1517,"LT00","NA","1286.575"
"2013","LT",1520,"LT00","NA","822.4867"
"2013","LT",1521,"LT00","NA","150.1543"
"2013","LT",1527,"LT00","NA","1837.342"
"2013","LT",1559,"LT00","NA","179.6779"
"2013","LT",1568,"LT00","NA","374.1252"
"2013","LT",1571,"LT00","NA","1281.886"
"2013","LT",1595,"LT00","NA","247.8092"
"2013","LT",1602,"LT00","NA","287.1726"
"2013","LT",1653,"LT00","NA","673.0055"
"2013","LT",1681,"LT00","NA","849.1982"
"2013","LT",1726,"LT00","NA","641.4681"
"2013","LT",1729,"LT00","NA","406.7897"
"2013","LT",1763,"LT00","NA","151.932"
"2013","LT",1798,"LT00","NA","208.9755"
"2013","LT",1860,"LT00","NA","858.1779"
"2013","LT",1865,"LT00","NA","542.4934"
"2013","LT",1889,"LT00","NA","816.0058"
"2013","LT",1898,"LT00","NA","370.1098"
"2013","LT",1912,"LT00","NA","146.2938"
"2013","LT",1914,"LT00","NA","93.57091"
"2013","LT",1919,"LT00","NA","943.5426"
"2013","LT",1922,"LT00","NA","311.0128"
"2013","LT",1935,"LT00","NA","244.796"
"2013","LT",1982,"LT00","NA","187.2461"
"2013","LT",2001,"LT00","NA","1205.877"
"2013","LT",2008,"LT00","NA","858.716"
"2013","LT",2014,"LT00","NA","79.22694"
"2013","LT",2039,"LT00","NA","1006.982"
"2013","LT",2124,"LT00","NA","567.7463"
"2013","LT",2156,"LT00","NA","1555.698"
"2013","LT",2163,"LT00","NA","435.9695"
"2013","LT",2242,"LT00","NA","945.3388"
"2013","LT",2264,"LT00","NA","816.0058"
"2013","LT",2275,"LT00","NA","173.3654"
"2013","LT",2324,"LT00","NA","348.2729"
"2013","LT",2340,"LT00","NA","349.3656"
"2013","LT",2353,"LT00","NA","254.3928"
"2013","LT",2369,"LT00","NA","260.3683"
"2013","LT",2417,"LT00","NA","934.3746"
"2013","LT",2445,"LT00","NA","455.5913"
"2013","LT",2463,"LT00","NA","293.9469"
"2013","LT",2492,"LT00","NA","802.9008"
"2013","LT",2599,"LT00","NA","682.4466"
"2013","LT",2668,"LT00","NA","432.7714"
"2013","LT",2678,"LT00","NA","833.0907"
"2013","LT",2706,"LT00","NA","929.6159"
"2013","LT",2798,"LT00","NA","759.3985"
"2013","LT",2801,"LT00","NA","344.3683"
"2013","LT",2805,"LT00","NA","690.9942"
"2013","LT",2810,"LT00","NA","285.7589"
"2013","LT",2818,"LT00","NA","214.5822"
"2013","LT",2832,"LT00","NA","234.6474"
"2013","LT",2834,"LT00","NA","796.589"
"2013","LT",2840,"LT00","NA","448.7753"
"2013","LT",2858,"LT00","NA","294.515"
