"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","LT",7,"2","2013","20",4016,4014,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","3","NA","2","2","1","1","1","1","1","1","2","289.62","2","NA","2","2","2","2","4","1","5","2","1","NA","14.48","79.45","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",54,"1","2013","35",12998,12995,0,0,,,,,,,,0,0,0,0,6292,,0,,0,0,1,,2,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1448.1","2","1","2","1","2","2","4","1","3","2","2","NA","NA","115.85","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",58,"2","2013","20",3629,3607,0,0,,,,,,,,0,0,0,217,0,,0,,0,0,0,,22,,"NA","2","NA","1","1","2","1","1","1","1","3","3","1158.48","2","NA","2","2","2","2","1","1","4","2","1","NA","0.29","139.5","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",88,"2","2013","17",7373,7370,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,4,,"NA","3","3","1","1","1","1","1","1","1","1","2","289.62","2","NA","2","2","2","2","1","2","4","1","1","NA","579.24","328.04","96.54","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",104,"2","2013","20",2461,2455,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6,,"NA","3","3","2","1","2","1","1","2","1","1","4","724.05","2","NA","2","2","2","2","4","1","4","2","1","NA","57.92","161.27","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",117,"2","2013","20",3814,3811,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3,,"NA","3","NA","1","1","1","1","1","1","1","1","2","434.43","1","1","2","1","1","2","3","2","3","2","1","NA","28.96","103.04","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",193,"2","2013","37",3036,2678,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,359,,"NA","3","NA","1","2","2","1","1","1","1","1","3","405.47","1","NA","2","2","1","2","4","1","4","2","1","NA","144.81","70.33","NA","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",225,"2","2013","20",2562,2560,0,0,,,,,,,,0,0,45,0,0,,0,,0,0,0,,3,,"NA","3","NA","2","1","2","1","1","3","1","3","4","550.28","1","NA","2","2","2","2","4","1","2","2","1","NA","NA","57.84","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",239,"2","2013","20",2057,2056,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"NA","3","NA","2","1","2","1","1","1","1","1","4","724.05","2","NA","2","2","2","2","1","1","3","1","1","NA","173.77","134.71","325.82","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","LT",257,"2","2013","20",3213,3188,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,7,,19,,"NA","1","3","1","1","1","1","1","3","1","1","3","724.05","1","NA","2","1","2","2","4","1","3","2","2","NA","86.89","87.13","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
