"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","LT",71,253.663943990665,"NA","2","2013","10","3",1932,"1","4","3","LT","2","NA","1","7","NA","NA","NA","NA","3","6","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","1","1","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,3788,228,0,0,0,1,"2","1","1","3","1","3","5","6","7","7","7","5","4","3","NA","3","NA","6","3","6","6","8","7","1","2","8","8","8","3","3.4528",80,7,"1","NA","234.8108"
"2013","LT",541,253.663943990665,"NA","2","2013","22","1",1942,"1","2","1","LT","2","NA","3","3","NA","NA","NA","NA","3","7","40","NA","b-e","NA","13","1","2","NA","NA","NA","NA","3","2","3","2","2","2","NA",1,1,0,0,0,6739,1,182,6705,0,0,0,0,0,0,0,1,"1","1","1","1","3","1","1","5","8","7","9","2","4","2","NA","NA","NA","8","8","3","6","7","9","1","1","2","NA","5","3","3.4528",70,54,"1","2","248.60831"
"2013","LT",581,253.663943990665,"NA","2","2013","25","2",1936,"1","2","1","LT","2","NA","2","7","NA","NA","NA","NA","3","8","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","1","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2463,949,0,0,0,1,"1","1","1","2","2","2","1","7","6","NA","NA","4","5","2","4","4","5","NA","NA","5","6","NA","9","1","1","5","NA","3","3","3.4528",76,58,"1","2","307.374"
"2013","LT",881,253.663943990665,"NA","2","2013","15","1",1938,"2","4","3","LT","2","NA","4","7","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",1,1,0,0,0,514,1,203,0,0,0,7373,0,0,0,0,1,"1","1","1","1","1","2","1","5","NA","NA","7","NA","5","1","3","NA","8","10","9","0","NA","10","8","1","1","NA","NA","10","NA","3.4528",74,88,"1","2","182.22831"
"2013","LT",1041,253.663943990665,"NA","2","2013","25","2",1932,"2","2","1","LT","2","NA","1","7","NA","1","2","NA","3","9","40","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2461,0,0,0,0,1,"2","1","2","1","2","3","1","4","10","8","1","3","4","NA","4","4","NA","NA","5","1","6","3","5","1","1","1","7","5","9","3.4528",80,104,"1","2","1163.12592"
"2013","LT",1171,253.663943990665,"NA","2","2013","10","3",1933,"2","4","3","LT","2","NA","3","7","NA","1","NA","NA","3","3","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,2342,1,0,0,0,0,3481,333,0,0,0,1,"1","1","2","1","1","1","5","5","7","6","8","5","NA","2","4","2","NA","NA","6","1","2","7","10","1","NA","99","10","10","3","3.4528",79,117,"1","2","316.53065"
"2013","LT",1931,253.663943990665,"NA","2","2013","15","3",1949,"2","2","3","LT","2","NA","3","2","NA","1","NA","NA","3","5","NA","NA","q","NA","12","1","2","NA","NA","NA","NA","3","2","1","2","NA","2","NA",1,1,1749,0,0,3693,1,0,0,0,0,1182,91,14,0,0,1,"1","1","3","2","1","1","1","3","5","3","NA","5","5","2","2","3","NA","NA","7","4","5","NA","8","NA","1","7","7","9","NA","3.4528",63,193,"1","6","466.50632"
"2013","LT",2251,253.663943990665,"NA","2","2013","20","2",1934,"2","4","3","LT","2","NA","2","7","NA","1","NA","NA","3","9","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","3","1","3","2","NA","2","NA",1,1,0,0,0,2359,1,0,0,0,0,2518,0,0,0,0,1,"1","1","2","2","1","1","1","4","7","5","6","5","NA","3","3","NA","NA","NA","6","9","NA","9","NA","1","2","NA","99","NA","2","3.4528",78,225,"1","2","337.33961"
"2013","LT",2391,253.663943990665,"NA","2","2013","24","3",1932,"1","4","1","LT","2","NA","3","7","NA","NA","1","NA","3","5","NA","NA","NA","NA","13","1","NA","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,126,1,0,0,0,0,2057,0,0,0,0,1,"2","1","2","1","2","3","1","NA","8","3","7","4","4","3","3","2","NA","NA","8","5","1","6","NA","1","1","6","5","2","2","3.4528",80,239,"1","7","775.39462"
"2013","LT",2571,253.663943990665,"NA","1","2013","45","4",1946,"1","2","1","LT","2","NA","4","7","NA","NA","NA","NA","3","2","NA","NA","NA","NA","8","1","2","NA","NA","NA","NA","3","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,3213,0,0,0,0,1,"1","1","1","2","1","3","1","5","9","5","6","3","4","2","3","2","NA","NA","5","5","NA","NA","7","1","1","4","5","9","3","3.4528",66,257,"1","7","97.00481"
