"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","LT",71,253.663943990665,"1",1932,"1","1","4","1","13","5","NA","NA","NA","NA","NA","NA",80,80,7,"1","0","0","0"
"2013","LT",541,253.663943990665,"4",1942,"1","1","1","4","NA","1","NA","NA","NA","NA","NA","0",71,70,54,"0.7083333333","0","0","101"
"2013","LT",581,253.663943990665,"3",1936,"1","1","3","1","13","1","NA","NA","NA","NA","NA","NA",76,76,58,"1","0","0","111"
"2013","LT",881,253.663943990665,"1",1938,"2","1","4","1","13","NA","NA","NA","NA","NA","NA","0",75,74,88,"0.6666666667","0","0","0"
"2013","LT",1041,253.663943990665,"1",1932,"2","1","3","1","13","1","NA","NA","NA","NA","0","NA",80,80,104,"99","1","0","0"
"2013","LT",1171,253.663943990665,"1",1933,"2","1","4","1","13","3","NA","NA","NA","0","0","NA",79,79,117,"1","1","0","0"
"2013","LT",1931,253.663943990665,"2",1949,"2","1","1","1","13","1","NA","NA","NA","NA","NA","NA",64,63,193,"1","2","0","0"
"2013","LT",2251,253.663943990665,"1",1934,"2","1","3","1","13","NA","NA","NA","0","NA","0","NA",79,78,225,"1","2","0","110"
"2013","LT",2391,253.663943990665,"4",1932,"1","1","3","4","13","5","NA","NA","NA","NA","NA","NA",80,80,239,"99","2","0","0"
"2013","LT",2571,253.663943990665,"4",1946,"1","1","1","1","13","NA","NA","NA","NA","NA","NA","20",66,66,257,"0.5","1","0","0"
"2013","LT",2661,253.663943990665,"1",1932,"2","1","1","4","13","1","NA","NA","NA","NA","NA","22",80,80,266,"99","0","0","0"
"2013","LT",2901,253.663943990665,"1",1988,"1","1","3","1","13","1","NA","NA","NA","NA","0","NA",25,24,290,"0.5","0","0","0"
"2013","LT",2951,253.663943990665,"3",1967,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",45,45,295,"99","0","1","0"
"2013","LT",3011,253.663943990665,"2",1932,"2","1","3","1","13","NA","NA","28","NA","NA","NA","NA",80,80,301,"1","0","0","0"
"2013","LT",3341,253.663943990665,"1",1952,"1","1","1","4","13","5","NA","NA","NA","NA","NA","NA",60,60,334,"99","2","1","100"
"2013","LT",3771,253.663943990665,"4",1932,"2","1","4","1","13","1","NA","NA","NA","NA","NA","NA",80,80,377,"0","2","0","0"
"2013","LT",3791,253.663943990665,"4",1937,"2","1","3","4","13","5","NA","NA","NA","NA","NA","NA",76,75,379,"99","0","0","0"
"2013","LT",4471,253.663943990665,"1",1945,"2","1","1","1","13","2","NA","NA","NA","NA","NA","NA",68,67,447,"1","0","1","11"
"2013","LT",4561,253.663943990665,"3",1991,"2","1","2","1","13","NA","NA","NA","NA","NA","NA","NA",22,21,456,"0.7380952381","0","0","0"
"2013","LT",5091,253.663943990665,"4",1949,"2","1","3","1","13","3","NA","NA","NA","NA","NA","0",63,63,509,"0.1666666667","2","0","0"
"2013","LT",5151,253.663943990665,"1",1940,"2","1","3","1","13","2","NA","NA","NA","NA","NA","NA",73,72,515,"1","0","0","0"
"2013","LT",5221,253.663943990665,"3",1932,"2","1","1","4","NA","1","NA","NA","NA","NA","NA","NA",80,80,522,"0.6666666667","0","0","0"
"2013","LT",5291,253.663943990665,"1",1935,"2","1","1","1","NA","NA","NA","NA","NA","NA","0","0",77,77,529,"0.3630952381","0","0","0"
"2013","LT",5311,253.663943990665,"4",1962,"1","1","1","1","13","3","NA","NA","NA","0","NA","0",51,50,531,"1","0","0","0"
"2013","LT",5491,253.663943990665,"1",1948,"2","1","1","1","13","1","NA","NA","NA","NA","NA","30",65,64,549,"1","0","0","100"
"2013","LT",5651,253.663943990665,"3",1965,"1","1","1","1","13","5","NA","NA","NA","NA","0","0",48,47,565,"1","0","0","0"
"2013","LT",5791,253.663943990665,"4",1977,"2","1","1","1","13","1","NA","NA","NA","NA","NA","NA",36,35,579,"99","0","0","100"
"2013","LT",5941,253.663943990665,"3",1983,"2","1","1","1","13","2","NA","NA","NA","0","NA","NA",29,29,594,"99","2","0","0"
"2013","LT",6051,253.663943990665,"2",1984,"1","1","3","4","13","5","NA","NA","NA","0","0","NA",28,28,605,"0.7083333333","0","0","0"
"2013","LT",6401,253.663943990665,"4",1932,"2","1","1","1","NA","1","NA","NA","NA","NA","0","NA",80,80,640,"99","0","1","0"
"2013","LT",6691,253.663943990665,"4",1985,"1","1","4","1","13","5","NA","NA","NA","NA","NA","NA",28,27,669,"1","0","0","10"
